Serial_Number;Device_Name;Type;Groupe;State
FVQ8122;MGhariani;Mini Tower;Groupe Misfat Filtration;En Service
2149630056;mini pc GIGABYTE;Mini Pc GIGABYTE;Groupe Misfat Filtration;En Service
2D1H4H3;Mini PC DELL OPTIPLEX 3080;MINI pc DELL;Groupe Misfat Filtration;En Service
SN2149630092;MINI-PC-TV2;Mini Pc GIGABYTE;Groupe Misfat Filtration;En Service
3FWHGM2;MJemai;Desktop;Groupe Misfat Filtration;En Service
BKQ5Q02;MJENDOUBI;Mini Tower;Groupe Misfat Filtration;En Service
6P9J5P2;MKachouti;Desktop;Groupe Misfat Filtration;En Service
4Y93H5J;MKARMOUSI;Tower;Groupe Misfat Filtration;En Service
17HVQK3;MKAROUI;Desktop;Groupe Misfat Filtration;En Service
J0LX994;MKHISS;Desktop;Groupe Misfat Filtration;En Service
B6R5D4J;MMESTIRI;Mini Tower;Groupe Misfat Filtration;Fonctionnel-nonAffecte
G6PY63200CQV;MN_;Mini PC Intel;Groupe Misfat Filtration;En Service
G6PY722000UE;MN_10478;Mini PC Intel;Groupe Misfat Filtration;Hors Service
G6PY722000PN;MN_10508;Mini PC Intel;Groupe Misfat Filtration;Hors Service
G6PY72200157;MN_10515;Mini PC Intel;Groupe Misfat Filtration;Hors Service
G6RY80900H6K;MN_11167;Mini PC Intel;Groupe Misfat Filtration;En Service
G6RY80900HGS;MN_11168;Mini PC Intel;Groupe Misfat Filtration;Hors Service
G6RY80900H4P;MN_11170;Mini PC Intel;Groupe Misfat Filtration;Hors Service
G6RY80900H3E;MN_11196;Mini PC Intel;Groupe Misfat Filtration;Hors Service
G6PY843007WW;MN_12248;Mini PC Intel;Groupe Misfat Filtration;Hors Service
G6PY8430080R;MN_12249;Mini PC Intel;Groupe Misfat Filtration;Hors Service
G6PY91200ATJ;MN_12842;Mini PC Intel;Groupe Misfat Filtration;En Service
G6PY91200AVB;MN_12843;Mini PC Intel;Groupe Misfat Filtration;En Service
G6PY9120097K;MN_12845;Mini PC Intel;Groupe Misfat Filtration;En Service
G6PY91200AL4;MN_12847;Mini PC Intel;Groupe Misfat Filtration;Hors Service
G6PY91200AWL;MN_12848;Mini PC Intel;Groupe Misfat Filtration;Hors Service
G6PY9120096F;MN_12849;Mini PC Intel;Groupe Misfat Filtration;En Service
G6PY91200AK2;MN_12850;Mini PC Intel;Groupe Misfat Filtration;Hors Service
G6PY91200AL6;MN_12851;Mini PC Intel;Groupe Misfat Filtration;En Service
G6PY912009BM;MN_12852;Mini PC Intel;Groupe Misfat Filtration;En Service
Z3735F;MN_12853;Mini PC BOX;Groupe Misfat Filtration;En Service
8CC1160YRN;MN_14598;Mini PC HP;Groupe Misfat Filtration;En Service
8CC1160YT6;MN_14603;Mini PC HP;Groupe Misfat Filtration;En Service
8CC1160YRV;MN_14608;Mini PC HP;Groupe Misfat Filtration;En Service
FW1T5T3;MN_16825;MINI pc DELL;Groupe Misfat Filtration;En Service
G6PY63200GNF;MN_20170154 / 1;Mini PC Intel;Groupe Misfat Filtration;En Service
G6PY63200CLZ;MN_448;Mini PC Intel;Groupe Misfat Filtration;En Service
